Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x
Methyl butyrate,-195.37,12875.0,27.964,66.189,34.014,232.51,-28148.0,-37.041,-22612.0,-21.273,90.0,250.0,-0.34936
Methyl hexanoate,-122.02,10473.0,16.8,100.57,33.296,139.68,-34878.0,-47.417,-36354.0,-51.425,90.0,250.0,-0.31461
Methyl octanoate,-99.485,10290.0,13.254,131.11,33.138,110.2,-41005.0,-55.524,-45536.0,-67.343,90.0,250.0,-0.28143
Methyl decanoate,-102.84,11324.0,13.54,159.49,34.245,112.57,-45445.0,-59.134,-53268.0,-78.844,90.0,250.0,-0.27972
Methyl undecanoate,-105.18,11865.0,13.785,172.6,34.732,114.62,-47564.0,-60.799,-57032.0,-84.288,90.0,250.0,-0.28
Methyl laurate,-109.71,12520.0,14.347,185.25,35.353,119.29,-49419.0,-61.9,-60781.0,-89.685,90.0,250.0,-0.28368
Methyl tridecanoate,-115.58,13246.0,15.104,197.43,36.074,125.58,-51039.0,-62.552,-64530.0,-95.096,90.0,250.0,-0.28906
Methyl myristate,-120.29,13909.0,15.694,208.98,36.649,130.49,-52736.0,-63.472,-68262.0,-100.45,90.0,250.0,-0.29246
Methyl myristoleate,-113.46,13554.0,14.728,213.49,37.081,122.46,-53101.0,-63.209,-68223.0,-99.053,90.0,250.0,-0.28538
Methyl pentadecanoate,-126.09,14632.0,16.44,220.11,37.3,136.69,-54234.0,-64.044,-72019.0,-105.9,90.0,250.0,-0.29696
Methyl cis-10-pentadecenoate,-121.04,14370.0,15.732,224.68,37.908,130.8,-54360.0,-63.285,-71977.0,-104.55,90.0,250.0,-0.29292
Methyl palmitate,-132.35,15384.0,17.252,230.91,37.992,143.44,-55604.0,-64.405,-75817.0,-111.44,90.0,250.0,-0.30162
Methyl palmitoleate,-122.75,14785.0,15.914,234.04,38.316,132.31,-55820.0,-64.15,-74878.0,-108.35,90.0,250.0,-0.29332
Methyl heptadecanoate,-138.1,16106.0,17.99,241.11,38.584,149.58,-56989.0,-64.91,-79591.0,-116.95,90.0,250.0,-0.30529
cis-10-Heptadecenoic acid methyl ester,-131.98,15703.0,17.149,244.55,39.272,142.59,-56744.0,-63.698,-78781.0,-114.26,90.0,250.0,-0.30166
Methyl stearate,-146.35,16982.0,19.081,251.23,39.416,158.65,-58003.0,-64.704,-83582.0,-122.99,90.0,250.0,-0.31092
trans-9-Elaidic acid methyl ester,-144.38,16783.0,18.84,254.82,40.78,156.65,-56834.0,-61.737,-82652.0,-120.36,90.0,250.0,-0.3122
cis-9-Oleic acid methyl ester,-127.15,15803.0,16.378,252.26,38.354,136.17,-59846.0,-67.994,-81942.0,-118.29,90.0,250.0,-0.2927
Methyl linolelaidate,-131.7,16121.0,17.031,258.09,39.899,141.61,-58810.0,-64.795,-82612.0,-118.66,90.0,250.0,-0.29994
Methyl linoleate,-139.13,16697.0,18.041,257.74,39.592,150.0,-59189.0,-65.581,-84351.0,-122.54,90.0,250.0,-0.30499
Methyl gamma-linolenate,-136.55,16470.0,17.715,262.03,40.981,147.29,-58110.0,-62.672,-83449.0,-119.79,90.0,250.0,-0.30577
Methyl linolenate,-143.18,17012.0,18.622,265.43,41.54,154.83,-58058.0,-61.891,-85221.0,-122.91,90.0,250.0,-0.31104
Methyl arachidate,-166.88,18997.0,21.825,270.8,41.524,181.47,-59245.0,-63.009,-92054.0,-136.33,90.0,250.0,-0.32301
Methyl cis-11-eicosenoate,-158.04,18365.0,20.617,273.54,42.132,171.42,-58981.0,-61.979,-90443.0,-132.1,90.0,250.0,-0.31944
"cis-11,14-Eicosadienoic acid methyl ester",-167.11,19050.0,21.879,279.19,43.796,181.91,-57918.0,-58.952,-92334.0,-135.24,90.0,250.0,-0.32587
"cis-11,14,17-Eicosatrienoic acid methyl ester",-165.52,18966.0,21.662,282.47,44.549,180.11,-57618.0,-57.792,-92284.0,-134.39,90.0,250.0,-0.32595
Methyl heneicosanoate,-187.7,20685.0,24.677,281.33,43.907,205.18,-58221.0,-59.092,-97478.0,-145.93,90.0,250.0,-0.33338
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",-158.26,18511.0,20.65,284.65,44.497,171.7,-58138.0,-58.32,-91558.0,-132.01,90.0,250.0,-0.32218
"cis-8,11,14-Eicosatrienoic acid methyl ester",-180.42,20084.0,23.717,286.78,46.076,197.19,-56575.0,-55.132,-95379.0,-140.51,90.0,250.0,-0.3333
